Date,Open,High,Low,Close
2023-10-26,1.2136,1.2162,1.2107,1.2137
2023-10-30,1.2113,1.2166,1.2093,1.2114
2023-10-31,1.2165,1.2199,1.212,1.2166
2023-11-01,1.2151,1.2165,1.2098,1.2152
2023-11-02,1.2184,1.2224,1.2156,1.2182
2023-11-03,1.2191,1.2375,1.2185,1.2192
2023-11-06,1.2372,1.2429,1.2367,1.2374
2023-11-07,1.2344,1.2348,1.2277,1.2346
2023-11-08,1.229,1.2301,1.2243,1.2292
2023-11-09,1.2286,1.2309,1.2254,1.2285
2023-11-10,1.2216,1.2238,1.2189,1.2217
2023-11-13,1.223,1.2272,1.2225,1.2228
2023-11-14,1.228,1.2488,1.2265,1.2281
2023-11-15,1.2494,1.2499,1.2406,1.2495
2023-11-16,1.2424,1.2455,1.2378,1.2422
2023-11-17,1.2416,1.2442,1.2376,1.2415
2023-11-20,1.2454,1.251,1.2447,1.2455
2023-11-21,1.2509,1.2558,1.2506,1.2509
2023-11-22,1.2545,1.2549,1.2449,1.2544
2023-11-23,1.2491,1.2563,1.249,1.249
2023-11-24,1.2533,1.2617,1.2525,1.2534
2023-11-27,1.2601,1.2644,1.2592,1.26
2023-11-28,1.2636,1.2714,1.2608,1.2634
2023-11-29,1.2713,1.2733,1.2666,1.2712
2023-11-30,1.2696,1.271,1.2606,1.2696
2023-12-01,1.2632,1.269,1.2616,1.2632
2023-12-04,1.2712,1.2713,1.2606,1.2713
2023-12-05,1.2634,1.2651,1.2583,1.2634
2023-12-06,1.2595,1.2614,1.2582,1.2594
2023-12-07,1.2558,1.2594,1.2545,1.2559
2023-12-08,1.2588,1.2601,1.2505,1.259
2023-12-11,1.2557,1.2591,1.2536,1.2555
2023-12-12,1.2554,1.2608,1.2519,1.2555
2023-12-13,1.257,1.2571,1.2506,1.2571
2023-12-14,1.2622,1.2779,1.2614,1.2623
2023-12-15,1.2771,1.2791,1.2686,1.2771
2023-12-18,1.2673,1.2704,1.2631,1.2672
2023-12-19,1.2653,1.2761,1.265,1.2652
2023-12-20,1.2731,1.2731,1.2633,1.2733
2023-12-21,1.2641,1.2692,1.2615,1.2641
2023-12-22,1.2686,1.2745,1.2681,1.2685
2023-12-25,1.2677,1.2747,1.2677,1.2677
2023-12-26,1.2705,1.2719,1.2686,1.2705
2023-12-27,1.2728,1.2801,1.2701,1.2727
2023-12-28,1.2802,1.2827,1.274,1.2801
2023-12-29,1.2735,1.2773,1.2703,1.2734
2024-01-01,1.273,1.2733,1.2694,1.273
2024-01-02,1.2728,1.2761,1.2612,1.2729
2024-01-03,1.2624,1.2652,1.2618,1.2623
2024-01-04,1.2675,1.2728,1.2658,1.2674
2024-01-05,1.2682,1.277,1.2613,1.2684
2024-01-08,1.2717,1.2765,1.2675,1.2718
2024-01-09,1.2742,1.2765,1.2692,1.2745
2024-01-10,1.2715,1.2742,1.2687,1.2713
